ID,Nama Produk,Jenis Sambal,Harga,Stok,Tanggal Produksi,Tanggal Expired,Rating,Penjual,Lokasi
1,Sambal Sambal Terasi 479ml,Sambal Tomat,26049,114,7/15/2025,12/23/2025,4.3,Perum Safitri Tbk,Singkawang
2,Sambal Sambal Roa 116ml,Sambal Terasi,16140,111,7/15/2025,2/9/2026,3.8,Perum Jailani (Persero) Tbk,Pontianak
3,Sambal Sambal Matah 466ml,Sambal Roa,24446,229,7/15/2025,3/4/2026,4.5,PD Sihotang Pertiwi,Batam
4,Sambal Sambal Ijo 457ml,Sambal Roa,32298,142,7/15/2025,12/31/2025,3,PD Nurdiyanti (Persero) Tbk,Subulussalam
5,Sambel Sambal Bawang 147ml,Sambal Roa,16338,183,7/15/2025,4/7/2026,4,Perum Nugroho Tbk,Serang
6,Sambal Sambal Teri 374ml,Sambal Bawang,73774,472,7/15/2025,4/24/2026,2.7,UD Tampubolon Tbk,Pasuruan
7,Sambel Sambal Cumi 395ml,Sambal Matah,56174,35,7/15/2025,11/5/2025,4.2,CV Hutasoit,Tidore Kepulauan
8,Sambel Sambal Bawang 219ml,Sambal Bawang,34911,142,7/15/2025,6/2/2026,4.1,UD Hutagalung,Parepare
9,Sambel Sambal Ijo 289ml,Sambal Cumi,23730,343,7/15/2025,2/26/2026,4.3,PD Utama Sihombing (Persero) Tbk,Purwokerto
10,Sambal Sambal Ijo 373ml,Sambal Matah,20708,236,7/15/2025,4/25/2026,3.2,PD Wulandari Haryanti,Magelang
11,Sambal Sambal Cumi 493ml,Sambal Terasi,25010,420,7/15/2025,10/29/2025,4.5,Perum Nurdiyanti Kurniawan,Pekalongan
12,Sambel Sambal Tomat 133ml,Sambal Matah,69843,482,7/15/2025,3/23/2026,3,UD Nashiruddin Tbk,Lubuklinggau
13,Sambel Sambal Roa 429ml,Sambal Teri,19363,135,7/15/2025,12/23/2025,3.1,PT Setiawan,Banda Aceh
14,Sambel Sambal Roa 398ml,Sambal Roa,33723,112,7/15/2025,12/22/2025,3.8,CV Handayani Mangunsong (Persero) Tbk,Bitung
15,Sambal Sambal Terasi 156ml,Sambal Ijo,51120,81,7/15/2025,5/17/2026,4,CV Wijaya Suartini (Persero) Tbk,Tomohon
16,Sambel Sambal Roa 405ml,Sambal Teri,44676,128,7/15/2025,10/18/2025,4.2,CV Tampubolon Rahmawati (Persero) Tbk,Bengkulu
17,Sambal Sambal Tomat 493ml,Sambal Cumi,17310,150,7/15/2025,5/23/2026,2.9,PT Setiawan Widodo,Tangerang
18,Sambal Sambal Tomat 356ml,Sambal Ijo,43271,467,7/15/2025,12/6/2025,4.7,PT Wacana Tbk,Bima
19,Sambel Sambal Matah 178ml,Sambal Cumi,59971,82,7/15/2025,7/11/2026,4.8,UD Hariyah Mulyani,Jayapura
20,Sambel Sambal Teri 109ml,Sambal Bawang,70889,185,7/15/2025,3/19/2026,3.1,PD Hutasoit Gunarto,Bima
21,Sambal Sambal Bawang 143ml,Sambal Teri,63478,35,7/15/2025,7/12/2026,4.4,Perum Safitri,Kotamobagu
22,Sambal Sambal Teri 381ml,Sambal Ijo,27370,270,7/15/2025,5/17/2026,4.9,PT Haryanto Waskita Tbk,Serang
23,Sambal Sambal Tomat 304ml,Sambal Cumi,38711,460,7/15/2025,7/4/2026,3.6,Perum Waluyo,Kediri
24,Sambal Sambal Matah 132ml,Sambal Cumi,11378,301,7/15/2025,2/7/2026,4,Perum Wastuti (Persero) Tbk,Sorong
25,Sambal Sambal Bawang 462ml,Sambal Terasi,25003,34,7/15/2025,10/29/2025,4.6,CV Farida,Langsa
26,Sambal Sambal Matah 242ml,Sambal Teri,24040,276,7/15/2025,12/19/2025,4.3,CV Adriansyah,Binjai
27,Sambel Sambal Matah 342ml,Sambal Roa,22478,48,7/15/2025,12/1/2025,4.1,CV Haryanto (Persero) Tbk,Madiun
28,Sambel Sambal Roa 310ml,Sambal Teri,66612,373,7/15/2025,11/9/2025,4.2,PT Irawan Tbk,Tangerang Selatan
29,Sambal Sambal Terasi 306ml,Sambal Cumi,62467,441,7/15/2025,12/7/2025,3.1,Perum Budiyanto Wastuti (Persero) Tbk,Magelang
30,Sambal Sambal Teri 171ml,Sambal Roa,22025,142,7/15/2025,6/6/2026,3.1,PD Prastuti Puspasari,Batu
31,Sambal Sambal Teri 381ml,Sambal Bawang,13315,333,7/15/2025,10/20/2025,4.9,UD Wastuti (Persero) Tbk,Padangpanjang
32,Sambal Sambal Ijo 308ml,Sambal Teri,41546,109,7/15/2025,5/6/2026,4.8,UD Wacana Mangunsong,Banjarmasin
33,Sambal Sambal Roa 101ml,Sambal Roa,27380,474,7/15/2025,6/2/2026,3.2,PD Nurdiyanti Andriani (Persero) Tbk,Kota Administrasi Jakarta Selatan
34,Sambel Sambal Ijo 197ml,Sambal Tomat,24267,495,7/15/2025,11/11/2025,3.9,PT Permadi,Malang
35,Sambal Sambal Cumi 129ml,Sambal Terasi,48284,244,7/15/2025,6/27/2026,4.8,PD Halim,Bengkulu
36,Sambal Sambal Terasi 360ml,Sambal Bawang,65793,95,7/15/2025,11/17/2025,4,PD Hastuti Tbk,Purwokerto
37,Sambal Sambal Roa 161ml,Sambal Matah,47940,304,7/15/2025,11/2/2025,4,Perum Situmorang Tbk,Kota Administrasi Jakarta Selatan
38,Sambel Sambal Cumi 233ml,Sambal Matah,53891,366,7/15/2025,3/22/2026,3.1,UD Pertiwi Tampubolon Tbk,Ambon
39,Sambel Sambal Ijo 443ml,Sambal Tomat,39964,161,7/15/2025,11/19/2025,2.5,CV Siregar Tbk,Surakarta
40,Sambal Sambal Bawang 375ml,Sambal Matah,43153,135,7/15/2025,12/19/2025,4.8,PD Hardiansyah Napitupulu Tbk,Metro
41,Sambal Sambal Matah 289ml,Sambal Tomat,20338,224,7/15/2025,3/16/2026,4,PT Nashiruddin Tbk,Langsa
42,Sambal Sambal Tomat 439ml,Sambal Bawang,71533,449,7/15/2025,12/20/2025,3.2,CV Mandasari Kuswoyo Tbk,Lubuklinggau
43,Sambal Sambal Ijo 239ml,Sambal Tomat,49638,107,7/15/2025,4/6/2026,3,PT Mahendra Widodo (Persero) Tbk,Batu
44,Sambel Sambal Teri 228ml,Sambal Terasi,16048,324,7/15/2025,5/17/2026,4.6,CV Pangestu Nashiruddin,Sukabumi
45,Sambal Sambal Terasi 270ml,Sambal Ijo,51753,134,7/15/2025,1/3/2026,4.4,PT Saputra Nababan,Magelang
46,Sambel Sambal Terasi 157ml,Sambal Bawang,71934,452,7/15/2025,12/28/2025,3.9,Perum Adriansyah Halimah (Persero) Tbk,Yogyakarta
47,Sambel Sambal Ijo 320ml,Sambal Ijo,12741,157,7/15/2025,4/17/2026,4.7,Perum Manullang Damanik,Tomohon
48,Sambal Sambal Cumi 207ml,Sambal Matah,53708,52,7/15/2025,4/12/2026,4.5,PT Jailani Saefullah Tbk,Medan
49,Sambel Sambal Ijo 221ml,Sambal Ijo,73976,409,7/15/2025,1/11/2026,4.7,UD Rajasa Tbk,Cirebon
50,Sambal Sambal Ijo 477ml,Sambal Cumi,61274,476,7/15/2025,5/11/2026,4.5,PD Waskita Pradipta,Mojokerto
51,Sambal Sambal Tomat 181ml,Sambal Bawang,35070,446,7/15/2025,11/1/2025,4.6,CV Riyanti Gunawan (Persero) Tbk,Kupang
52,Sambal Sambal Matah 335ml,Sambal Cumi,30000,420,7/15/2025,2/6/2026,3.1,PT Mulyani Napitupulu,Pasuruan
53,Sambal Sambal Roa 268ml,Sambal Tomat,66646,35,7/15/2025,3/4/2026,3.4,CV Wulandari Yulianti Tbk,Sibolga
54,Sambel Sambal Cumi 114ml,Sambal Bawang,67477,496,7/15/2025,2/23/2026,2.9,PD Saptono (Persero) Tbk,Kota Administrasi Jakarta Barat
